"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","cy.url() - get the current URL","Location","2026-04-21","passed","2026-04-21","","","",""
"","90",".parent() - get parent DOM element from DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","112","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","360",".submit() - submit a form","Actions","2026-04-21","passed","2026-04-21","","","",""
"","83","Get current spec information","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.spec","",""
"","172","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","390",".blur() - blur off a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","128",".focus() - focus on a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","151","matches unknown text between two elements","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","349",".should() - make an assertion about the current subject","Assertions","2026-04-21","passed","2026-04-21","","Implicit Assertions","",""
"","1013","cy.exec() - execute a system command","Misc","2026-04-21","passed","2026-04-21","","","",""
"","79","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-04-21","passed","2026-04-21","","Cypress.Screenshot","",""
"","100",".spread() - spread an array as individual args to callback function","Connectors","2026-04-21","passed","2026-04-21","","","",""
"","84",".prev() - get previous sibling DOM element","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","170","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-04-21","passed","2026-04-21","","","",""
